"searched_zipcode","searched_lat","searched_lng","searched_address","searched_state","searched_city","searched_metro","city_slug","latitude","longitude","distance","loc_name","loc_number","url","address","cuisines","delivery_fee_raw","delivery_fee","delivery_time_raw","delivery_time","service_fee_raw","service_fee","phone","review_count","review_rating","RunDate"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6782261","-73.9494383","0.07724621550419089","Daydream Breakfast Burritos","2605529","https://www.doordash.com/store/2605529/?pickup=false","1306 Atlantic Ave, Brooklyn, NY 11216, USA","Burritos|Tacos|Chips and Salsa|Coffee","$0.00 delivery fee, first order",0.00,"22 - 32",27.0,"","","","6","3.3","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.69397","-73.9294029","1.5284522988017353","Antonio's Quesadilla Shack","2290857","https://www.doordash.com/store/2290857/?pickup=false","1117 Broadway, Brooklyn, NY 11221, USA","Mexican|Quesadillas|Tacos","$0.00 delivery fee, first order",0.00,"46 - 56",51.0,"","","","22","3.7","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.69397","-73.9294029","1.5284522988017353","Antonio's Quesadilla Shack","2290857","https://www.doordash.com/store/2290857/?pickup=false","1117 Broadway, Brooklyn, NY 11221, USA","Mexican|Quesadillas|Tacos","$0.00 delivery fee, first order",0.00,"46 - 56",51.0,"","","","22","3.7","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.69397","-73.9294029","1.5284522988017353","Antonio's Quesadilla Shack","2290857","https://www.doordash.com/store/2290857/?pickup=false","1117 Broadway, Brooklyn, NY 11221, USA","Mexican|Quesadillas|Tacos","$0.00 delivery fee, first order",0.00,"46 - 56",51.0,"","","","22","3.7","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6644391","-73.93113699999999","1.4273424128622594","Carter's Soulfood Kitchen","23059104","https://www.doordash.com/store/23059104/?pickup=false","411 Utica Ave, Brooklyn, NY 11213, USA","Breakfast|Seafood|Fried Food|Burgers|Shrimp|Chicken","$0.00 delivery fee, first order",0.00,"36 - 46",41.0,"","","","3","4","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6644391","-73.93113699999999","1.4273424128622594","Carter's Soulfood Kitchen","23059104","https://www.doordash.com/store/23059104/?pickup=false","411 Utica Ave, Brooklyn, NY 11213, USA","Breakfast|Seafood|Fried Food|Burgers|Shrimp|Chicken","$0.00 delivery fee, first order",0.00,"36 - 46",41.0,"","","","3","4","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6644391","-73.93113699999999","1.4273424128622594","Carter's Soulfood Kitchen","23059104","https://www.doordash.com/store/23059104/?pickup=false","411 Utica Ave, Brooklyn, NY 11213, USA","Breakfast|Seafood|Fried Food|Burgers|Shrimp|Chicken","$0.00 delivery fee, first order",0.00,"36 - 46",41.0,"","","","3","4","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6778549","-73.9726263","1.152025378767018","333 Lounge","2239549","https://www.doordash.com/store/2239549/?pickup=false","333 Lounge, 333 Flatbush Ave, Brooklyn, NY 11217, USA","Burgers|Brunch","$0.00 delivery fee, first order",0.00,"32 - 42",37.0,"","","","7","4.9","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6778549","-73.9726263","1.152025378767018","333 Lounge","2239549","https://www.doordash.com/store/2239549/?pickup=false","333 Lounge, 333 Flatbush Ave, Brooklyn, NY 11217, USA","Burgers|Brunch","$0.00 delivery fee, first order",0.00,"32 - 42",37.0,"","","","7","4.9","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6778549","-73.9726263","1.152025378767018","333 Lounge","2239549","https://www.doordash.com/store/2239549/?pickup=false","333 Lounge, 333 Flatbush Ave, Brooklyn, NY 11217, USA","Burgers|Brunch","$0.00 delivery fee, first order",0.00,"32 - 42",37.0,"","","","7","4.9","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6760775","-73.97466949999999","1.2714417068909636","Curry Home","2852867","https://www.doordash.com/store/2852867/?pickup=false","Bombay Kabab, 54 7th Ave, Brooklyn, NY 11217, USA","Roti|samosa|Soup|Curry|Indian Cuisine","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","2","5","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6760775","-73.97466949999999","1.2714417068909636","Curry Home","2852867","https://www.doordash.com/store/2852867/?pickup=false","Bombay Kabab, 54 7th Ave, Brooklyn, NY 11217, USA","Roti|samosa|Soup|Curry|Indian Cuisine","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","2","5","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6760775","-73.97466949999999","1.2714417068909636","Curry Home","2852867","https://www.doordash.com/store/2852867/?pickup=false","Bombay Kabab, 54 7th Ave, Brooklyn, NY 11217, USA","Roti|samosa|Soup|Curry|Indian Cuisine","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","2","5","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6579395","-73.9505773","1.4434654451658482","Zanmi","1079978","https://www.doordash.com/store/1079978/?pickup=false","1206 Nostrand Ave, Brooklyn, NY 11225, USA","Haitian|Brunch|Sandwiches|Salads|Fast Food","$0.00 delivery fee, first order",0.00,"39 - 49",44.0,"","","","206","4.4","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6579395","-73.9505773","1.4434654451658482","Zanmi","1079978","https://www.doordash.com/store/1079978/?pickup=false","1206 Nostrand Ave, Brooklyn, NY 11225, USA","Haitian|Brunch|Sandwiches|Salads|Fast Food","$0.00 delivery fee, first order",0.00,"39 - 49",44.0,"","","","206","4.4","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6579395","-73.9505773","1.4434654451658482","Zanmi","1079978","https://www.doordash.com/store/1079978/?pickup=false","1206 Nostrand Ave, Brooklyn, NY 11225, USA","Haitian|Brunch|Sandwiches|Salads|Fast Food","$0.00 delivery fee, first order",0.00,"39 - 49",44.0,"","","","206","4.4","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6929038","-73.9701121","1.4078171654649176","Smoothie King","1612080","https://www.doordash.com/store/1612080/?pickup=false","394 Myrtle Ave, Brooklyn, NY 11205, USA","Healthy|Juice Bars & Smoothies|Snacks|Healthy Smoothies|Snacks & Sweets|smoothie|Smoothies","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","142","4.7","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6929038","-73.9701121","1.4078171654649176","Smoothie King","1612080","https://www.doordash.com/store/1612080/?pickup=false","394 Myrtle Ave, Brooklyn, NY 11205, USA","Healthy|Juice Bars & Smoothies|Snacks|Healthy Smoothies|Snacks & Sweets|smoothie|Smoothies","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","142","4.7","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6929038","-73.9701121","1.4078171654649176","Smoothie King","1612080","https://www.doordash.com/store/1612080/?pickup=false","394 Myrtle Ave, Brooklyn, NY 11205, USA","Healthy|Juice Bars & Smoothies|Snacks|Healthy Smoothies|Snacks & Sweets|smoothie|Smoothies","$0.00 delivery fee, first order",0.00,"25 - 35",30.0,"","","","142","4.7","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6740484","-73.9310452","1.0804743864772348","Wakky's African Restaurant","2464415","https://www.doordash.com/store/2464415/?pickup=false","1174 St Marks Ave, Brooklyn, NY 11213, USA","African|Soup|Stew","$0.00 delivery fee, first order",0.00,"40 - 50",45.0,"","","","92","4.3","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6740484","-73.9310452","1.0804743864772348","Wakky's African Restaurant","2464415","https://www.doordash.com/store/2464415/?pickup=false","1174 St Marks Ave, Brooklyn, NY 11213, USA","African|Soup|Stew","$0.00 delivery fee, first order",0.00,"40 - 50",45.0,"","","","92","4.3","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6740484","-73.9310452","1.0804743864772348","Wakky's African Restaurant","2464415","https://www.doordash.com/store/2464415/?pickup=false","1174 St Marks Ave, Brooklyn, NY 11213, USA","African|Soup|Stew","$0.00 delivery fee, first order",0.00,"40 - 50",45.0,"","","","92","4.3","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Burrito Affirmation","22954172","https://www.doordash.com/store/22954172/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Burritos|Mexican|Breakfast Burrito|Breakfast","$0.00 delivery fee, first order",0.00,"22 - 32",27.0,"","","","4","3.2","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Burrito Affirmation","22954172","https://www.doordash.com/store/22954172/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Burritos|Mexican|Breakfast Burrito|Breakfast","$0.00 delivery fee, first order",0.00,"22 - 32",27.0,"","","","4","3.2","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Burrito Affirmation","22954172","https://www.doordash.com/store/22954172/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Burritos|Mexican|Breakfast Burrito|Breakfast","$0.00 delivery fee, first order",0.00,"22 - 32",27.0,"","","","4","3.2","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6680296","-73.93097630000001","1.2738707082269836","Buffalo Boss Organic Wings & Things","2474225","https://www.doordash.com/store/2474225/?pickup=false","291 Utica Ave, Brooklyn, NY 11213, USA","Halal|Chicken Tenders|Fries","$0.00 delivery fee, first order",0.00,"37 - 47",42.0,"","","","303","4.4","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6680296","-73.93097630000001","1.2738707082269836","Buffalo Boss Organic Wings & Things","2474225","https://www.doordash.com/store/2474225/?pickup=false","291 Utica Ave, Brooklyn, NY 11213, USA","Halal|Chicken Tenders|Fries","$0.00 delivery fee, first order",0.00,"37 - 47",42.0,"","","","303","4.4","2022-04-25 07:01:12"
"11216","40.6788319","-73.9506774","300 Madison St, Brooklyn, NY 11216, USA","NY","Brooklyn","NY","","40.6680296","-73.93097630000001","1.2738707082269836","Buffalo Boss Organic Wings & Things","2474225","https://www.doordash.com/store/2474225/?pickup=false","291 Utica Ave, Brooklyn, NY 11213, USA","Halal|Chicken Tenders|Fries","$0.00 delivery fee, first order",0.00,"37 - 47",42.0,"","","","303","4.4","2022-04-25 07:01:12"
"11219","40.6310753","-73.9976946","4701 15th Ave, Brooklyn, NY 11219, USA","NY","Brooklyn","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Cheeky's Cheesesteaks","2914505","https://www.doordash.com/store/2914505/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Onion Rings|Fries|Mediterranean|Cheesesteaks|Chicken Tenders","$0.00 delivery fee, first order",0.00,"27 - 37",32.0,"","","","3","1","2022-04-25 07:01:12"
"10003","40.7324733","-73.98738","41 Cooper Square, 7 E 7th St, New York, NY 10003, USA","NY","New York","NY","","40.6839508","-73.97886489999999","1.5186154742747286","Cheeky's Cheesesteaks","2914505","https://www.doordash.com/store/2914505/?pickup=false","24 4th Ave, Brooklyn, NY 11217, USA","Onion Rings|Fries|Mediterranean|Cheesesteaks|Chicken Tenders","$0.00 delivery fee, first order",0.00,"27 - 37",32.0,"","","","3","1","2022-04-25 07:01:12"
